Latitude,Longitude
-37.814619463998895,144.9744434939978
-37.81013955044752,144.97045445740824
-37.81989155597466,144.9573050094399
-37.81452358749519,144.95363194415222
-37.8141,144.963
-37.811659660777174,144.96590852785317
-37.81378490910957,144.95921393207493
-37.81208430778482,144.957673808202
-37.81490830722213,144.9702766021266
-37.81524915678738,144.97314159073107
-37.81048976870829,144.96983246885642
-37.81511905228891,144.9672319773706
-37.8193757585424,144.96072703660153
-37.81493990503614,144.9571064400715
-37.814904232143626,144.95946785250575
-37.81234195524841,144.95747264257747
-37.81255101130159,144.96912121560823
-37.81297799000399,144.96500386189254
-37.81563593894615,144.96891885702712
-37.81421732717906,144.96868620157775
-37.81149843916813,144.9578509039312
-37.81755323848202,144.96367939894515
-37.813824367361065,144.95564249481137
-37.817498900730406,144.95733373953922
-37.81441433608599,144.9642030290308
-37.816684767377666,144.96055280996944
-37.80976480029159,144.96655091362402
-37.81820164875195,144.9628227548919
-37.81775821439796,144.95905833648234
-37.815433858078045,144.97034870559295
-37.81443729389206,144.96424442351238
-37.812450481188876,144.96022544074387
-37.815087858661,144.95659154982727
-37.8164818671844,144.95680394658794
-37.816569308643416,144.9626349885918
-37.818182093424454,144.95543464721993
-37.81093407686694,144.97118109207815
-37.80981442880433,144.97104036325564
-37.811771085862645,144.96878837649064
-37.81314036967468,144.97219005323734
-37.81845411218166,144.95560243873098
-37.81760284771435,144.96534032696024
-37.813022761188186,144.9574379303582
-37.811961461674116,144.9579335102344
-37.81631295711501,144.95487360390817
-37.8106196747047,144.9661532277868
-37.81890017710286,144.95657280630863
-37.81620548287361,144.9562963703685
-37.8173763955731,144.95820971641513
-37.81246959159245,144.96517473073592
-37.815304486875384,144.9738353504629
-37.81559015745049,144.95788746072122
-37.81515321268496,144.95435551507467
-37.811980895709056,144.96101188554448
-37.81583784531715,144.95679194150858
-37.818227809023234,144.9620497057267
-37.809754250865566,144.9653089392123
-37.81601483284959,144.96218720038516
-37.81824729720168,144.9578825765743
-37.811690699132114,144.97294130730833
-37.81030772364256,144.96345193649725
-37.81501646921105,144.961033078234
-37.81598274837344,144.9703759077961
-37.81005285239337,144.97245976295855
-37.81662369177466,144.96199326088728
-37.815506644006085,144.9588669118137
-37.80832559873856,144.97105692378244
-37.81529290140387,144.95819806648439
-37.815402331519664,144.96862113084708
-37.82042269544211,144.95559218965195
-37.81636319456922,144.95751846846986
-37.811145064205704,144.95869015467085
-37.81491219230061,144.96724534437865
-37.812813970245486,144.95964232785457
-37.81609271823536,144.95951465145652
-37.814427289506646,144.9618602060885
-37.8152880608233,144.95755665867134
-37.812623691007296,144.9543199827372
-37.81434477944883,144.9661723156081
-37.813411726044,144.96334480438233
-37.81863462959422,144.9541237604893
-37.814614125765715,144.95940436068446
-37.811872870641636,144.95990644900323
-37.813596393660625,144.96566203666927
-37.816649611039466,144.96243824678535
-37.813837494013086,144.96786005164765
-37.810271092264315,144.96148562136437
-37.81728078918926,144.95470628845717
-37.810730245012316,144.96464952572057
-37.80937911411694,144.96661695158255
-37.815423655167294,144.97112054876663
-37.81428209774935,144.95580192926346
-37.81398983143549,144.9552640190384
-37.812690479642654,144.97001928056926
-37.81704270963471,144.96574598037978
-37.80993435421895,144.96803170289266
-37.81336629000091,144.9652675712844
-37.81207635849776,144.95890686602672
-37.81386380787004,144.9671532039937
-37.815256314325616,144.96706991446212
-37.81022841398234,144.965625273269
-37.815828118346055,144.97014914520236
-37.81282402330063,144.96708700509325
-37.813533856350006,144.97089686575208
-37.81710028921741,144.96664165101868
-37.813610086086776,144.96382407169256
-37.816162429752154,144.95515855845323
-37.81343832758531,144.95432055525242
-37.81381423822018,144.95681981996265
-37.812196730917165,144.95846412345497
-37.81685255856487,144.96583133280848
-37.81077185583469,144.96176723915445
-37.81582166727068,144.95447317463592
-37.8122,144.96200000000002
-37.814534986869795,144.96690314180884
-37.81112722965496,144.97037973535268
-37.81878203438363,144.9608362897805
-37.80887359191431,144.96695535609854
-37.814140880967706,144.97300933618303
-37.81145428810651,144.9603354240176
-37.81714969371978,144.95966985383092
-37.81184268163072,144.97198713616083
-37.814369329877124,144.97440313968735
-37.81636865336556,144.9678220288784
-37.81410953684771,144.96110272699207
-37.81258220032159,144.95953749398936
-37.818863889201026,144.9554224959066
-37.810588840703126,144.96343954593712
-37.81426518323673,144.96232529282378
-37.818022372669596,144.95618459646778
-37.81327368975608,144.95278751605628
-37.80942181880139,144.96948914407952
-37.80838794270895,144.96957596542518
-37.81616153248597,144.9576987093562
-37.81006922020894,144.96876865009997
-37.818785631696215,144.95593348941532
-37.81955836378909,144.9592948033818
-37.810226149935055,144.96726385549758
-37.811433119584294,144.96255270542738
-37.81863502433553,144.958789864602
-37.81207375798799,144.95739461518238
-37.80985467475024,144.97058613017714
-37.813660528641236,144.9633827958477
-37.81405601486291,144.95919020583543
-37.81782696824719,144.9632991800832
-37.8100048570401,144.97044718475493
-37.81551142225007,144.96675919319705
-37.81797979515815,144.95740763285224
-37.81494371831452,144.9565394067452
-37.81662789038045,144.95378445282245
